id,domainId,label,observationItem,greenSignal,blueSignal,keywords,sourceIds,evidenceLevel
ITEM_018,D05_klassenfuehrung,Arbeitsauftrag ist eindeutig,"Lernende wissen, was sie tun sollen, ohne fachliche Offenheit unnötig zu schließen.","Auftrag ist klar, fachlicher Anspruch bleibt erhalten.",Unklarer Auftrag erzeugt Leerlauf oder Scheinaktivität.,auftrag; unklar; was machen; leerlauf,IBBW_UFB_2024; ROSENSHINE_2012,source_anchored_modelled_item
ITEM_019,D05_klassenfuehrung,Übergänge sind lernökonomisch,Phasenwechsel unterstützen den fachlichen Lernfluss.,"Material, Sozialform und Zeitwechsel sind vorbereitet.",Übergänge reißen den fachlichen Fokus ab.,wechsel; material; phase; zeitverlust,IBBW_UFB_2024,source_anchored_modelled_item
ITEM_020,D05_klassenfuehrung,Monitoring ist lernbezogen,Die Lehrkraft nimmt Arbeitsstände wahr und steuert rechtzeitig nach.,Rundgänge liefern fachliche Informationen.,Monitoring bleibt organisatorisch.,rundgang; blick; monitoring; steuern,IBBW_UFB_2024; ROSENSHINE_2012,source_anchored_modelled_item
ITEM_021,D06_unterstuetzung,Klima ermöglicht Beteiligung,"Die Lernatmosphäre unterstützt Beteiligung, Fehlerfreundlichkeit und Sicherheit.",Lernende beteiligen sich sichtbar angstarm.,Unsicherheit oder Beschämung hemmt Beteiligung.,klima; wertschätzung; fehlerfreundlich; sicher,IBBW_UFB_2024,source_anchored_modelled_item
ITEM_022,D06_unterstuetzung,Lehrkraft ist fachlich zugewandt,Zuwendung unterstützt das mathematische Arbeiten und bleibt lernbezogen.,Präsenz verbindet Beziehung und fachliche Orientierung.,Zuwendung bleibt organisatorisch oder vom Lerngegenstand gelöst.,zugewandt; präsenz; ansprechbar; lernbezogen,IBBW_UFB_2024,source_anchored_modelled_item
ITEM_023,D06_unterstuetzung,Hilfen sind adaptiv dosiert,Unterstützung passt zum Lernbedarf und nimmt Denken nicht ab.,Hilfen eröffnen nächste Denkschritte.,"Hilfen kommen zu früh, zu spät oder lösen für die Lernenden.",hilfe; impuls; scaffold; zu früh; zu spät,ROSENSHINE_2012; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_024,D06_unterstuetzung,Wertschätzung bleibt anspruchsvoll,Ein positives Klima wird mit fachlichem Anspruch verbunden.,Lernende erleben Unterstützung und Herausforderung.,Harmonie ersetzt fachliche Herausforderung.,nett; harmonie; anspruch; forderung,IBBW_UFB_2024; CHU_KOGNITIVE_AKTIVIERUNG,source_anchored_modelled_item
ITEM_025,D07_mathe_verstehen,Grundvorstellung wird aufgebaut,Begriffe oder Verfahren werden mit tragfähigen Bedeutungen verbunden.,"Formales Vorgehen wird mit Bedeutung, Bild oder Handlung verbunden.",Verfahren bleibt Rezept ohne Bedeutungsaufbau.,grundvorstellung; bedeutung; rezept; verfahren; anschaulich,PREDIGER_LEUDERS_FUNKTIONEN_2005; DZLM_MACO_FUNKTIONEN_2022,source_anchored_modelled_item
ITEM_026,D07_mathe_verstehen,Begriffsverständnis wird vertieft,"Mathematische Begriffe werden präzisiert, abgegrenzt und angewendet.","Begriff wird an Beispielen, Gegenbeispielen oder Darstellungen geklärt.","Begriffe werden verwendet, aber nicht verstanden.",begriff; definition; beispiel; gegenbeispiel,KMK_MATHE_AHR_2012; PREDIGER_LEUDERS_FUNKTIONEN_2005,source_anchored_modelled_item
ITEM_027,D07_mathe_verstehen,Verfahren werden begründet,Rechenwege oder Algorithmen werden fachlich begründet.,"Lernende verstehen, warum ein Verfahren funktioniert.",Verfahren werden nur eingeübt.,verfahren; warum funktioniert; algorithmus; rezept,KMK_MATHE_AHR_2012; ATKINSON_RENKL_WORKED_EXAMPLES_2000,source_anchored_modelled_item
ITEM_028,D07_mathe_verstehen,Mathematische Struktur wird sichtbar,"Der Unterricht hebt Beziehungen, Muster oder Invarianten hervor.",Schüler erkennen strukturelle Zusammenhänge.,Einzelaufgaben bleiben unverbunden.,struktur; muster; zusammenhang; invariante,KMK_MATHE_AHR_2012; CHU_KOGNITIVE_AKTIVIERUNG,source_anchored_modelled_item
ITEM_029,D08_darstellungen,Darstellungen werden vernetzt,"Tabelle, Graph, Term, Situation und Sprache werden bewusst miteinander verbunden.",Darstellungswechsel stützt Verständnis.,Darstellungen stehen nebeneinander oder werden mechanisch übersetzt.,graph; tabelle; term; darstellung; vernetzen; wechsel,KMK_MATHE_AHR_2012; DZLM_MACO_FUNKTIONEN_2022; PREDIGER_LEUDERS_FUNKTIONEN_2005,source_anchored_modelled_item
ITEM_030,D08_darstellungen,Darstellung passt zur Idee,Die gewählte Darstellung macht eine mathematische Struktur zugänglich.,Darstellung entlastet und fokussiert die relevante Idee.,Darstellung verdeckt oder verzerrt den mathematischen Kern.,skizze; graph; tabelle; visualisierung; passt,MAYER_MULTIMEDIA_LEARNING; PREDIGER_LEUDERS_FUNKTIONEN_2005,source_anchored_modelled_item
ITEM_031,D08_darstellungen,Wechsel wird fachlich begründet,"Lernende begründen, warum eine Darstellung hilfreich ist.",Darstellungswahl wird reflektiert.,Darstellungswechsel bleibt Bedienhandlung.,warum graph; warum tabelle; darstellungswahl,KMK_MATHE_AHR_2012; DZLM_MACO_FUNKTIONEN_2022,source_anchored_modelled_item
ITEM_032,D08_darstellungen,Repräsentationen tragen Kommunikation,Darstellungen dienen als gemeinsamer Bezug für mathematische Gespräche.,SuS zeigen und erklären an Darstellung.,"Darstellung wird gezeigt, aber nicht besprochen.",zeigen; erklären am graphen; gemeinsam,KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_033,D09_sprache,Fachsprache wird präzisiert,"Fachbegriffe, Symbole und Alltagssprache werden lernförderlich verbunden.",Sprachliche Präzisierung unterstützt Verständnis.,Unschärfen bleiben stehen.,fachsprache; symbol; präzise; heißt; begriff,KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_034,D09_sprache,Lernende formulieren mathematisch,"Lernende erhalten Gelegenheit, Zusammenhänge selbst zu formulieren.","Schüler erklären, begründen, vergleichen.",Lehrkraft formuliert fast alles selbst.,formulieren; erklären; schüler sprechen; lehrer erklärt,KMK_MATHE_AHR_2012; CHU_KOGNITIVE_AKTIVIERUNG,source_anchored_modelled_item
ITEM_035,D09_sprache,Operatoren sind handlungsleitend,"Operatoren wie begründen, erläutern, vergleichen werden in Handlung übersetzt.","Lernende wissen, was eine mathematische Handlung verlangt.",Operatoren bleiben Etiketten.,operator; begründen; erläutern; vergleichen,KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_036,D09_sprache,Sprachstützen erhalten Denken,Sprachhilfen unterstützen mathematisches Argumentieren ohne es zu ersetzen.,Satzstarter oder Begriffslisten öffnen Beteiligung.,Sprachhilfen werden mechanisch oder fachlich leer genutzt.,satzstarter; sprachhilfe; wortspeicher,KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_037,D10_aufgaben,Aufgabe hat fachlichen Kern,Die Aufgabe ist auf eine mathematische Einsicht oder Kompetenz ausgerichtet.,Bearbeitung führt zu fachlichem Ertrag.,Aufgabe bleibt Beschäftigung oder Produktorientierung.,aufgabe; produkt; beschäftigung; fachlicher kern,CHU_KOGNITIVE_AKTIVIERUNG; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_038,D10_aufgaben,Offenheit ist gesteuert,"Offene Elemente ermöglichen Denken, ohne Orientierung zu verlieren.",Offenheit führt zu Strategievergleich oder Begründung.,Offenheit zerfasert oder überfordert.,offen; entdecken; frei; strategie,CHU_KOGNITIVE_AKTIVIERUNG,source_anchored_modelled_item
ITEM_039,D10_aufgaben,Niveau passt zum Lernstand,"Anforderung liegt im erreichbaren, aber herausfordernden Bereich.",Aufgabe fordert und bleibt zugänglich.,"Aufgabe ist zu leicht, zu schwer oder unklar gestuft.",zu leicht; zu schwer; niveau; heterogen,IBBW_UFB_2024; ROSENSHINE_2012,source_anchored_modelled_item
ITEM_040,D10_aufgaben,Aufgabe erzeugt Vergleichbarkeit,Lösungen lassen sich fachlich vergleichen und auswerten.,Aufgabe erzeugt unterschiedliche sinnvolle Lösungswege.,Ergebnisse sind kaum auswertbar.,vergleich; lösungswege; auswertung,KMK_MATHE_AHR_2012; CHU_KOGNITIVE_AKTIVIERUNG,source_anchored_modelled_item
ITEM_041,D11_scaffolding,Hilfen werden schrittweise zurückgenommen,Unterstützung wird als Gerüst genutzt und später reduziert.,Lernende gewinnen Selbstständigkeit.,Hilfe bleibt dauerhaft oder nimmt Denken ab.,scaffold; hilfe zurücknehmen; selbstständig,ROSENSHINE_2012,source_anchored_modelled_item
ITEM_042,D11_scaffolding,Beispiele fördern Verstehen,"Lösungsbeispiele werden aktiv verarbeitet, erklärt und variiert.",Beispiele entlasten und fördern Verständnis.,Beispiele werden passiv abgeschrieben.,beispiel; musterlösung; worked example; abschreiben,ATKINSON_RENKL_WORKED_EXAMPLES_2000,source_anchored_modelled_item
ITEM_043,D11_scaffolding,Übung folgt Verständnis,Übungsphasen konsolidieren gezielt zuvor aufgebaute Konzepte oder Verfahren.,Übung automatisiert tragfähiges Wissen.,Übung startet vor Klärung oder ohne Rückmeldung.,übung; automatisieren; routine; festigen,ROSENSHINE_2012,source_anchored_modelled_item
ITEM_044,D11_scaffolding,Selbsterklärungen werden angeregt,"Lernende erklären sich Schritte, Begründungen oder Beispiele aktiv selbst.",Selbsterklärung vertieft das Beispielverständnis.,Beispiele bleiben oberflächlich.,selbsterklärung; erkläre dir; warum schritt,ATKINSON_RENKL_WORKED_EXAMPLES_2000,source_anchored_modelled_item
ITEM_045,D12_medien,Material reduziert unnötige Belastung,Medien und Material lenken Aufmerksamkeit auf den Lerngegenstand.,"Layout, Visualisierung und Sprache entlasten.",Material ist überladen oder ablenkend.,folie; arbeitsblatt; überladen; layout; ablenkung,MAYER_MULTIMEDIA_LEARNING,source_anchored_modelled_item
ITEM_046,D12_medien,Text und Bild sind sinnvoll verbunden,Wörter und Bilder/Darstellungen unterstützen sich gegenseitig.,"Text-Bild-Bezug ist nah, klar und lernförderlich.",Text und Bild sind getrennt oder konkurrieren.,text; bild; diagramm; nebeneinander; split,MAYER_MULTIMEDIA_LEARNING,source_anchored_modelled_item
ITEM_047,D12_medien,Technik dient dem Denken,Digitale Mittel machen mathematische Strukturen sichtbar oder bearbeitbar.,Technik ermöglicht Exploration oder Kontrolle.,Technik dominiert organisatorisch oder dekorativ.,technik; geogebra; tablet; digital; dekorativ,MAYER_MULTIMEDIA_LEARNING; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_048,D12_medien,Reduktion schützt Fokus,"Material verzichtet auf irrelevante Details, die Lernen ablenken.",Darstellung ist fokussiert und klar.,Seductive details oder Schmuck überlagern Fachlichkeit.,detail; schmuck; bildchen; fokus; reduziert,MAYER_MULTIMEDIA_LEARNING,source_anchored_modelled_item
ITEM_049,D13_sicherung,Sicherung bündelt zentrale Einsichten,Die Sicherung macht zentrale Ergebnisse verfügbar und fachlich klar.,Gemeinsame Einsicht ist dokumentiert und anschlussfähig.,"Ergebnisse werden gesammelt, aber nicht gebündelt.",sicherung; bündeln; tafelbild; merksatz,IBBW_UFB_2024; ROSENSHINE_2012,source_anchored_modelled_item
ITEM_050,D13_sicherung,Sicherung prüft Verständnis,"Die Sicherung zeigt nicht nur Ergebnisse, sondern den Grad des Verstehens.","Sicherung enthält Rückfragen, Begründungen oder Transfer.",Sicherung bleibt Ergebnisvortrag.,sicherung; verständnis; transfer; rückfrage,BLACK_WILIAM_1998; IBBW_UFB_2024,source_anchored_modelled_item
ITEM_051,D13_sicherung,Transfer wird vorbereitet,Zentrale Einsicht wird auf neue oder leicht variierte Situationen bezogen.,Lernende erkennen Übertragbarkeit.,Transfer bleibt Behauptung.,transfer; anwenden; neue aufgabe; variiert,ROSENSHINE_2012; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_052,D13_sicherung,Dokumentation ist lernbrauchbar,"Heft, Tafelbild oder digitales Produkt ist fachlich korrekt und nutzbar.",Dokumentation unterstützt spätere Nutzung.,Dokumentation bleibt fragmentarisch.,heft; tafelbild; notieren; abschreiben,IBBW_UFB_2024,source_anchored_modelled_item
ITEM_053,D14_reflexion,Reflexion ist fachbezogen,"Reflexion bezieht sich auf Strategien, Verständnis oder Lernstand.",Lernende reflektieren fachliche Entscheidungen.,Reflexion bleibt allgemein oder sozial.,reflexion; strategie; was gelernt; lernstand,BLACK_WILIAM_1998; KMK_MATHE_AHR_2012,source_anchored_modelled_item
ITEM_054,D14_reflexion,Metakognition wird operationalisiert,Lernende erhalten konkrete Kriterien zur Steuerung ihres Lernens.,Reflexion führt zu nächstem Lernschritt.,Metakognition bleibt Schlagwort.,metakognition; kriterium; nächster schritt,BLACK_WILIAM_1998,source_anchored_modelled_item
ITEM_055,D14_reflexion,Nachbesprechungsimpuls ist belegbasiert,Beratung knüpft an konkrete Beobachtungen statt Eindrücke an.,"Impuls verbindet Beobachtung, Wirkung und Alternative.",Gespräch bleibt allgemein.,nachbesprechung; beleg; wirkung; alternative,IBBW_UFB_2024; USER_WORKFLOW_DESIGN,source_anchored_modelled_item
ITEM_056,D14_reflexion,Lernende übernehmen Verantwortung,Selbststeuerung ist fachlich gerahmt und realistisch.,Lernende planen oder prüfen ihr Vorgehen.,Verantwortung wird nur appellativ eingefordert.,selbstständig; verantwortung; planen; prüfen,BLACK_WILIAM_1998,source_anchored_modelled_item
ITEM_057,D15_kontext,Kontextbeobachtung bleibt sichtbar,Nicht itemnahe Beobachtungen werden nicht gelöscht oder erzwungen zugeordnet.,Kontext erklärt Verlauf oder Gesprächsanlass.,Kontext wird fälschlich als Qualitätsurteil behandelt.,kontext; technik; hektisch; organisatorisch,USER_WORKFLOW_DESIGN,design_decision
ITEM_058,D15_kontext,Spider-Web-Markierungen werden gebündelt,Mehrere bewusste Itemklicks werden als ein Datensatz mit Zeit und Phase gespeichert.,Spider-Web ergänzt das Logbuch ohne es zuzumüllen.,Jeder Klick erzeugt einen eigenen Logbucheintrag.,spider; batch; markierung; zeitstempel,USER_WORKFLOW_DESIGN,design_decision
ITEM_059,D15_kontext,Inaktivität löst stille Analyse aus,Rechenlogik startet nur nach Tipp-Pausen oder Auswertungsaktion.,UI bleibt ruhig und blockiert nicht.,Live-Rechnen lässt Oberfläche springen.,inaktiv; rechnet; freeze; ruhig,USER_WORKFLOW_DESIGN,design_decision
ITEM_060,D15_kontext,Grün/blau markiert Verdichtungen,"Farben beziehen sich auf beratungsrelevante Verdichtungen, nicht auf automatische Urteile.",Nutzer entscheidet über grün/blau.,App bewertet automatisch.,grün; blau; verdichtung; markieren,USER_WORKFLOW_DESIGN,design_decision
